"","species","leaftype"
"1","Salvia leucophylla","nonsclero"
"2","Artemisia californica","nonsclero"
"3","Malacothamnus fasciculatus","nonsclero"
"4","Heteromeles arbutifolia","sclerophyllous"
"5","Rhus ovata","sclerophyllous"
"6","Eriodictyon crassifolium","nonsclero"
"7","Rhamnus ilicifolia","sclerophyllous"
"8","Baccharis pilularis","nonsclero"
"9","Malacothamnus fasciculatus dead","nonsclero"
"10","Salvia leucophylla dead","nonsclero"
"11","Heteromeles arbutifolia dead","sclerophyllous"
"12","Artemisia californica dead","nonsclero"
"13","Ceanothus oliganthus","nonsclero"
"14","Ceanothus oliganthus dead","nonsclero"
"15","Eriogonum fasciculatum","nonsclero"
"16","Rhamnus ilicifolia dead","nonsclero"
"17","Sambucus mexicana","nonsclero"
